word	meaning	sent_lc	sent_en
tou-la-journé (adv.)	all day long		
tou-lé-dé (n.)	both, the two of them	Yé tou le de mouri jenn.	Both of them died young.
tou-lé-jour (adv.)	every day		
tou-moun (n.)	everyone	Çé pa tou moun ki ka aprenn mèm zafè.	Not everyone can learn the same thing.
latous (n.)	cough	No té sèrvi shèvrè-fey pou fé dité. Ça koup latous.	We used honeysuckle to make tea. It breaks up a cough.
tousé, tous (v.)	1. to cough<br>2. to sneeze	1. Li t'ap tousé tou lanwit.<br>2.	1. He was coughing all night.<br>2.
Tou-Sin (n.)	All Saints Day		
tou-sœl (adv., adj.)	all alone		
traka (n.)	problem, trouble, difficulty, difficult situation	mo vwazin toujou gin in ta traka avèk sô garson é yê komarad.	My neighbor always has a lot of trouble with her son and their friends.
trakasé, trakas (v.)	&nbsp;1. to worry<br>2. to bother, trouble, disturb	1. la dòktèr di mwa pa trakasé, paskè çé pa aryin ke sra tro mové.<br>2. Té pe kité le finèt ouvèr, le pòrt ouvèr, tou kèkshoj ouvèr. Pèrsòn té pa vini trakasé twa.	1. The doctor told me not to worry, because it's nothing that will be too bad.<br>2. They used to leave the windows open, the doors open, everything open. No one came and bothered you.
trankil (adj.)	peaceful, quiet, calm, still	Ifo myè kité ça trankil.	He had better leave that alone.
