word	meaning	sent_lc	sent_en
kasé sô kœr (v. phr.)	to break someone's heart	Konm to parlé é mo, to kasé mô kèr.	As you spoke to me, you broke my heart.
kasé sô latet (v. phr.)	1. to worry, to rack pne's brains<br>2. to hurt oneself, break one's neck	1. Mo jonglé lontem pou trouvé ìn manyè pou gen ìn filé, mé mo kasé mô latet pou aryen.<br>2. Fé tansyon enho leskalyé parské to va kasé latet si to tonbé.	1. I thought a long time to find a way to get a drink, but I racked my brains for nothing.<br>2. Be careful at the top of the stairs, because you'll break your neck if you fall.
kasé santiman (n. phr.)	&nbsp;to hurt someone's feelings	Mo di li kishoj ki kasé sô sentiman.	I said something to him which hurt his feelings.
ki kantyenm (adv. phr.)	what date		
ki lœr li yé? (exp.)	What time is it?		
ki monyer (adv. phr.)	How, in what way?		
in lot kishoj (pron. indef.)	another thing, something else	In lot kishoj yé té koné servi si to té gen in plé ki té é abouti pou vini myè, yé té met in ravé en ça.	Another thing they used to use when you had a wound that was getting better, they used to put a cockroach on it.
gro kiyær (n. phr.)	table spoon		
kiyær dìsik (n. phr.)	sugar spoon	To ka met ça dan to gen ìn rìm, one drop en ìn ti kiyè dìsik.	You can put that in when you have a cold, one drop on a little sugar spoon.
ti kiyær (n. phr.)	tea spoon	Mo met ti bren kafé avek ìn ou de ti kiyè dìsik.	I put a little coffee with one or two teaspoonfuls of sugar.
klo dikann (n. phr.)	sugar cane field		
plœré (v. intr.)	to cry	Li t'apé pleré si telman li té gen de larm apé degouté.	He was crying so much he had tears dripping down.
kolær apré (v. phr.)	to be mad at	Mo koné li kolær apré mwa.	I know he's mad at me.
komen lontem (adv. phr.)	for how long, for how much time	Koman lontem to endan la Louzyan?	How long are you in Louisiana for?
koman ça çé fé (exp.)	how is it that, how does it happen that	Koman ça çé fé to pa gen shvœ dan demi tô latet?	How is it that you don't have hair on half of your head?
koné komen çé pou (v. phr.)	to know how to	To gen pou koné komen çé pou kwi yé.	You have to know how to cook them.
fé konmpran (v. phr.)	to explain, teach	Yé di nouzot, yé asit yé fé nou konmpran ou yé vyè paran sorti.	They told us, they sat down and explained where their ancestors came from.
konprann ìn-a-not (v. phr.)	to get along	Mo lenm mô piti-yé. No konprann ìn-a-not byin.	I love my children. We get along well.
konm ça (adv. phr.)	like that	Yé bat konm ça jishka lapli tonmbé en yé.	They fought like that until the rain fell on them.
konm si (conj.)	as if, as though	Ça gard konm si li malad.	It looks like he's sick.
chanmbo ìn konvèrsasyon (n. phr)	to hold a conversation	N'apé chanmbo lakonvasasyon.	We are holding a conversation.
kan t'a fini koné (v. phr.)	before you know it		
koné myè (v. phr.)	to know better	Li koné myè ke ça... Té pe péyé li ditou, té gen tayé li, té gen koné li.	Hi knew better than that, either he wouldn't get paid at all, or they would beat him up, he knew it.
pa koné myè (v. phr.)	not know any better	Té pa koné myè, yé viv kom ça.	They didn't know any better, they lived like that.
koné pa ìn fout (v. phr.)	not to know a damn thing		
vini koné (v. phr.)	to realize, to find out	Sô bèl-mèr vini koné eyou li té.	Her mother-in-law discovered where she was.
fé koné (v. phr.)	to introduce	Mé mentan çé té mô kouzin ki fé li koné mwa.	Now it was my cousin who introduced him to me.
koshon dìlé (n. phr.)	&nbsp;fat pig		
koshon faroush (n. phr.)	wild boar	M'apé kou lashash koshon faroush.	I'm going wild boar hunting.
koshondri (n.)	1. junk trash<br>2. mess<br>3. woman of low morals, slut, easy woman	1. Li ashté jish la koshonr avek sô larjan.<br>2. T'ap netwayé mé t'apé fé aryen dot ke la koshondri. Froté pli prop.<br>3. Çé ìn koshandri ça.	1. She bought just junk with her money.<br>2. You're cleaning but all you're doing is making a mess. Scrub it cleaner.<br>3. She's a slut.
kou de men (n. phr.)	helping hand	Çé té pou edé mwa, doné mwa ìn kou-d-men po sharyær di bwa pou bati mô kaban.	It was to help me, to give me a hand hauling wood to build my house.
d ìn kou (adv. phr.)	in one try	Çé té ìn joujou osi pou wa ki té kapab fé pli pirwèt d ìn kou.	It was a game to see who could do the most somersaults in one try.
in bon ti kou (n. phr.)	quite a lot	Mo bwi janmbon parskè mo trouvé ke li gen in bon ti kou dìsèl. Kan to bwi li, ça ot in pe dìsèl-la.	I boil ham because I find that it has quite a lot of salt. When you boil it, that takes out some of the salt.
Kou-d-baton (n. phr.)	blow, whack with a stick	M'ap fou shat-la ìn kou-d-baton.	I'm giving that crazy cat a whack with a stick.
kou-d-eséy (n. phr.)	try, attempt	Yé t;e jish olé aprann parlé kréòl é yé fé pann yé o premyé kou-d-eséy.	All they wnted was to learn Creole, and they got themselves hanged on the first attempt.
kou-d-fizi (n. exp.)	gunshot	Kapkap çé ìn ti zozo. Ça pa gen lavyann. Ça vo pa ìn kou-d-fizi.	A little green heron is a little bird. it doesn't have any meat. It's not worth shooting.
kou-d-fwèt (n. phr.)	lash of a whip	Yé fou li pli de sen kou-d-fwet.	They gave him more than two hundred lashes with the whip.
kou-d-kolèr (n. phr.)	fit of anger	Ça fé li di li ça lìndi, mé kan sanmdi vini, Bouki fé ìn ko-d-kolèr.	So he told him that on Monday, but when Saturday came Bouki had a fit of anger.
kou-t-kouto (n. phr.)	blow with a knife	Li fou Konpè Tig ìn kout kouto.	He dealt Brer Tiger a blow with the knife.
kou-d-marto (n. phr.)	blow with a hammer	Si tô klou krosh to gen pou doné li ìn kou-d-marto pou drwati.	If your noail is crooked you've got to hit it with the hammer to straighten it.
kou-d-pyé (1. n. phr., 2. v. phr.)	1. kick, blow with the foot<br>2. to kick	1. Yé soté en li a kout baton é a kout pyé, é bimen li jishka li mouri.<br>2. Kan li té de zan, ìn shwal té kou-d-pyé li, é, tou sô lamweil té out.	1. They jumped on him and beat him with blows with sticks and with kicks until he died.<br>2. When he was two years old a horse kicked him, and all of his brains came out of his head.
kou-d-pwen (n. phr.)	1. fist<br>2. blow with the fist	1. Tô kou-d-pwen.<br>2. Li fou li ìn kou-d-pwen li knock li out cold.	1. Your fist.<br>2. He punched him and knocked him out cold.
kou-d-sab (n. phr.)	blow with the sword	Kan Bouriqé rivé dan pay Lion sô bouté la chè té tomnbé a fòr li té boutlé, li di cé té dam ìn batay yé té don li ìn kou sab.	When the donkey arrived in the lion's country, the end of hos tail was falling off, so burnt it was, and he said that is was because of a sword blow in battle.
kou-d-san (n. phr.)	1. apoplectic fit<br>2. fit of anger	1. Pou ìn kou-d-san vyè moun yé té met ìn sansi en shak shwiy di pyé. Sansi la lê di san jishka piti shanjé koulè. Si to pa met ça la li toufé.<br>2. Mo fé ìn kou-d-san apré piti-la. Li t'ap fé ça li té pa gen pou fé.	1. For an apoplectic fit, old folks used to put a leech on each ankle. The leeches drew blood until th child changed color. If you don't put those on the child will suffocate.<br>2. I got angry at that child. He was doing things he wasn't supposed to do.
kou-t-soléy (n.))	sunburn, sunstroke	Pou geri ìn dart, to sèrn dart-la avek tô pous é to di menm pryèr ke to di pou ìn kout soley.	For ringworm, you draw circles around the ringworm with your thumb and you say the same prayer that you say for sunstroke.
kou-d-tem (v. phr.)	bad weather, storm	Kan kou-d-tem ap vini, gwalan-yé ap votijé tou partou, kan tem ap boulvèrsé.	When bad weather is coming, the sea gulls fly around everywhere, when the weather is changing suddenly.
kou-tèt (n. phr.)	blow with the head	To koné voyé kou tet konm tô papa?	DO you know how to deliver a blow with your head like your father?
kou-t-vòl (n. phr.)	theft	Lalwa trapé trwa ti garson dan ìn kou-t-vol.	The law caught three little boys in the act of stealing.
tou-d-ìn-kou (adv. phr.)	1. sudden, all of a sudden<br>2. all at once	1. Li tonmbé tou-d-ìn-kou.<br>2. Lê shawi pe pa manjé ça tou-d-ìn-kou konm ça.	1. He fell all of a sudden.<br>2. The racoons can't eat that all at once like that.
bwa ìn kou (v. phr.)	to drink a shot, take a drink	Mé mwa mo té gen tro swaf pou santé, ça fé mo kouri bwa ìn kou dan fyèv.	But I was too thirsty for my health, so I drank a shot in a fever.
koulé (v.)	1.to flow, run<br>2. to run (of the nose)<br>3. to leak<br>4. to strain, filter<br>5. to dig, carve, make a hole (in something)	1. Ina kishoj k'ap koulé enba en glasyè-la.<br>2. Yé di çé lagonm, ça vyen par la fret, sô nen koul tou-l-tem en betay-la.<br>3. Mo t;e ret dan vyè lamézon. Li té koné koulé é nou té bijé met de fè-blon plat, labay, pou trapé dolo kan lapli tonmb.<br>4. To ramasé tô ramiriz. To vidé li endan bari-la, é to kité li vini eg. É to met dìsìk endan li é t'a koulé li.<br>5. Yé pren ìn gro log, yé koulé ìn trou endan log-la.	1. There's something leaking down in the refrigerator.<br>2. They say it's mucus, it comes with the cold. That animal's nose is always running.<br>3. I used to live in an old house. It leaked and we had to set out tins and tubs to catch the water whenever it rained.<br>4. You gather your cherries. You pour them into the barrel and you let them turn sour. You put sugar in it and you strain it.<br>5. They took a big log and carved a big hole in the log.
koup ìn lalwa (v. phr.)	to break a law	Vou ka defonn mwa pasé ormi mo gen koup ìn lalwa.	You can keep me from unless I break the law.
òrmi (conj.)	unless	Mô frèr çé in bon mentèr. Li pa kapab di aryin òrmi li apé manti.	My brother is a good liar. He can't say anything unless he's lying.
koupé lafyèv (v. phr.)	to break a fever	Mo met ìn servyet avek vineg en sô lafron é ça koupé sô lafyev.	I put a towel with vinegar on his forehead and it broke his fever.
koupé en travèr (v. phr.)	to cut across	Yé p'olé fé alentor. Yé koup en travèr. Yé apé koupayé tou mô lakou.	They don't want to go around. They cut through my yard. They're cutting up my whole yard.
koupé zèrb (n. phr.)	to mow the lawn	Li pa ka koupé lèb aryen konm ça.	He can't cut the grass any more or anything like that.
koupé sô shvè (v. phr.)	to cut one's hair		
koupé sô den (v. phr.)	to teethe	Pou fé ìn piti koupé sô den penn trwa kro koshon dan sô kou.	To get a child to start cutting teeth, hang three pig's teeth around his neck.
koupé sô chi (v. phr.)	to spank, whip	Vo petet yayra li, mé çé la ou té beswin koupé sô chi.	Maybe you won't beat him, but that's when you ought to whip his ass.
koupé legaj (v. phr.)	to cut wages	Pou séré larjanyé lay off ìn ta moun é yé koupé yé legaj.	To save money, they laid off a lot of people and they cut their wages.
kouri diablè (exp.)	go to hell		
kouri apré (v. phr.)	1. to take after<br>2. to go look for	1. Mo di mô piti tou-l-tem, si vouzot té prenn apré to moman, t'apé fé ìn bon speaker. Mo di mé to kour pa tô papa. Yé papa, li parl pa much.<br>2. Li di l'apé kour apré ìn nonm.	1. I'm always telling my kids, "if you take after your mama you'll be a good talker", but I say, "don't take after your papa". Their papa doesn't talk much.&nbsp;<br>2. He said he was going to look for a man.
kouri ashté (v. phr.)	to go shopping	Lasmenn ki vyen an, nou gen pou drive dan Batan Rouj, pou kour ashté.	Next week we're going to Baton Rouge to do some shopping.
kouri koushé (v. phr.)	to go down, set (of the sun)	Yé té di nouzot. Si soley té kour koushé nou té pa la, no té janmé tourné.	They told us. If the sun had set and er weren't back yet, we would never get back.
kouri en koté (v. phr.)	to move aside	Ki kouri en koté, peshé sha-la frapé li.	She went to one side to avoid hitting him with her car.
kouri pou (v. phr.)	to go on (of time)	Ç'ap kouri pou katr œ.	It's going on four o'clock.
kouri shèrshé (v. phr.)	to go get, fetch	Mo di "m''apé kouri shèrshé Lebo, té rèt dan lamansh a Rougon."	I said "I'm going to get Lebeau, He lives on Rougon Lane."
tranp (adj.)	(soaking) wet	Li té tronp avek laswèr.	He was soaking wet with sweat.
tranpé (v.)	to (get) wet, soak	Piti-la vini de lekol tou tranpé parskè lapli trapé li en shmenn.	The child came home from school all soaked because he got caught on the street by the rain.
défé (v.)	1. to undo<br>2. to destroy<br>3. to tear down, demolish	1. Mo défé lourlé pou lanji mô rob.<br>2. Ça tou défé zot mézon.<br>3. Yé té bliyé défé lashimn pou sorti Jon ladon.	1. I undid the hem to lengthen my dress.<br>2. That (flood of 1927) completely destroyed your houses.<br>3. They were forced to tear down the chimney to get John out of it.
kourt (adj.)	1. short<br>2. short (of a persons height)	1. Nou vizit té kout.<br>2. Li pli kourt ke mwa.	1. Our visit was short.<br>2. He's shorter than me.
kouto a de mansh (n. phr.)	two handed knife		
kouto-d-kann (n. phr.)	sugar cane knife	Ìn kouto-dekann çé pou koupé lekann.	A cane knife is for cutting sugar cane.
kouto dékoupé (n. phr.)	carving knife	Li prenn kouto dékoupé, pa la pènè.	He took a carving knife, but it wasnt worth the troubl.
kouto diri (n. phr.)	rice knife	Lontem té gen ìn kouto diri ke té krosh.	Long time ago we had rice knives that were curved.
kouto laboushri (n. phr.)	butcher knife		
kouto latab (n. phr.)	table knife	Li ordené met torti en latab é li pren sô kouto latab pou koupé li.	He ordered them to put the turtle on the table and he got his table knife to cut it open.
kouzen (n.)	male cousin	Ça maryé de kouzen distans.	They married distant cousins.
tou krashé (adj. phr.)	spitting image of	Li té tou krashé sô moman.	He was the spitting image of his mother.
kròsh (adj., n.)	1. hooked, with a curved tip<br>2. twisted, bent, crooked<br>3. winding, crooked<br>4. gnarled, twisted<br>5. off-center<br>6. dis-honest, crooked<br>7. cross-eyed<br>8. curve in the road<br>9. hook	1. Sô kòstoum té semblé ìn lamen énormé avek de dwat kròsh.<br>2. Li té kròsh, é li met li drwat.<br>3. To wa, Vyè Djab gen shmen kròsh, Bondyè gen shmen drwat.<br>4. Bransh-çala krosh.<br>5. Li dormi tou ìn koté. Li té tou kròsh kan li revéyé.<br>6. Si to kròsh t'a kou pentanyè.<br>7. Li gen ìn zyè krosh, o li gen de zyè kròsh, ìn é gardé lòt.<br>8. To va tourné dan kròsh-la pou vini koté mô.<br>9. A koté ina ìn ti kròsh é la to kapab rashé ìn deklou avek ça.	1. His costume looked like an enormous hand with hooked fingers.<br>2. It was bent, and he straightened it.<br>3. You see, the Devil's rads are crooked and God's are straight.<br>4. That branch is gnarled.<br>5. He slept all on one side. He was all crooked when he woke up.<br>6. If you're dishonest you'll go to jail.<br>7. He has a lazy eye, or he's cross-eyed, one of them looks at the other one.<br>8. You'll turn at the curve to get to my house.<br>9. On the side there's a little hook you can pull nails out with.
krwayé (v. imp.)	believed (past tense of krwa)	Dan lanwit dan mô lit, mo krwayé çé té de moustik ke t'apé mord mwa mé çé té de punèz.	During the night in my bed, I thought it was mosquitoes biting me but it was bedugs.
kwayan (pres. part.)	believing, thinking (current form of krwa)	Yé alonjé yé-menm partèr-la, kwayan konmansé dromi ben vit paskè yé té si las.	They stretched out on the ground, thinking they would go to sleep right away becasue they were so tired.
krèvé fem (v. phr.)	to die of hunger	Li pèr pwa. L'ap krèvé fem.	He's losing weight. He's dying of hunger.
kek mwoyen (sdv. phr.)	somehow		
fé komærs avek (v. phr.)	to run around with (romantic partners)	Li fé komèrs avèk tèl é tèl fom mé li vè pa ça nom sorti. Li wa ìn fom diferant tou-le-swa.	He's running around with this woman and that but he doesn't want his name to come out. He sees a different woman every night.
menè kòmèrs (v. phr.)	to cheat on, run around on (one's spouse)	Li kolè. Sô fom ap menè kòmèrs.	He's angry. His wife is running around on him.
bon kœr (n. phr.)	good heart	Si yé té pa gen ìn bon kèr, fifolé-yé té koné move larjan-la, fou li pli fò, ke li té.	If they did not have a good heart, the will-o-the-wisps would move the money, they would bury it deeper than it was before.
gin sô kœr en bon koté (v. phr.)	to have one's heart in the right place	Li toujou ap edé keken. Li&nbsp; gen sô kèr en bon koté.	He's always helping someone. He's got his heart in the right place.
kœr brìlé (v. phr.)	(to have) heartburn	Mo kèr brelé.	I have heartburn.
mové kœr (n. phr.)	1. bad (weak) heart<br>2. mean spiritedness	1. Mo lenm pa tou lagres-çala. Gen mové kèr.<br>2. Li fé pa aryen pou pèrsòn. Li gen mové kèr.	1. I don't like all that grease. I have a bad heart.<br>2. He doesn't do anything for anyone. He's mean-spirited.
par kœr (adv. phr.)	by heart	Mo koné li par kèr.	I know that by heart.
Le (det.)	the (prenominal plural)	Dan le lak.	In the lakes.
drwat la (adv. phr.)	right there, right then		
la-isi (adv.)	here	Mô moman, popa, tou té resté la-isit, çé ça ki fé mo isi.	My mom, dad, everyone lived here, that's why I'm here.
la ke (conj.)	now that	La ke to fini, to pè gòn.	Now that you're finished, you can leave.
tou la (pron. rel.)	all (that)	Tou la mo té olé, çé trapé shval-la.	All that I wanted was to catch the horse.
fé lashas (v. phr.)	to go hunting	Ìn jou ìn anmeriken té apé fé lashas dan bwa.	One day an American was hunting in the woods.
kouri/va/alé lashas (v. phr.)	to go hunting	Li té koné kouri lashas.	He used to go hunting.
lashé louvraj (v. phr.)	to leave work	Tou-l-moun isi travay dan lajournè. Vouzot lash de louvraj apèpré dan le traz-èr, katr-èr.	Everyone around here works during the day. They get off work around three o'clock or four o'clock.
lashé bèk (v. phr.)	to let out, be out (of school)	Lékòl té ouvèr-la nev-èr é li té lashé bèk a katr-èr.	School opened at nine o'clock and it was over at four o'clock.
Komen to lenm ça astè! (exp.)	Now how do you like that!		
lenm myè (v. phr.)	to prefer	No sé lenm myè travayé kòm twa pou gen nô larjan.	We would rather have worked like you do to earn our money.
pa tro lwìn (adv. phr.)	not very far, close by	Pa tro lwen la, yé té gen ìn ti stasyon.	Not very far on there was a little station.
pli lwìn (adv. phr.)	farther, further	Mo gen 1in bo-frè ki res ìn pe pli lwen.	I have a brother-in-law who lives a little further down.
lwìn dìferans (n. phr.)	very different	Çé pa lwen difèrans.	There's not much difference.
gin lèspri (v. phr.)	to be intelligent	Li gen lèspri.	He is intelligent.
pèrd sô lèspri (v. phr.)	to lose one's mind, lose one's head, go crazy	To pèrd tô lèspri twa. To fou.	You're losing your mind. You're crazy
Ça fé pa lèspri (exp.)	That doesn't make sense.		
bon lèspri (n. phr.)	common sense	Piti-çala né avek bon lèspri. Li smart.	That child was born with common sense. He's smart.
kanpé (v.)	to stand	Plen fwa nou gen pou kanpé dan legliz parske yé pa gen asé plas pou asi.	A lot of times we have to stand in church because there aren't enough places to sit.
kanpé dan lakwen (v. phr.)	to stand in the corner (as punishment)	To veu pa kouté ça mo t'apé di twa. To fé kekshoj dòt ke to té pa sìpozé fé, ça fé to va kanpé dan lakwen pou trant minìt.	You don't want to listen to what I'm telling you. You did something you're not supposed to do, so you go stand in the corner for thirty minutes.
a lèstoma plin (adv. phr.)	until full	Ça fé li griyanté li, li pa manjé a lèstoma plin.	So he nibbled on it, that means he didn't fill up his stomach.
(sô) lèstoma fé mal (exp.)	to have a stomach ache, an upset stomach		
lèstoma milat (n. phr.)	stage plank, kind of gingerbread	Mo fé ti lamézon é lèstoma milat pou Nwèl.	I make little gingerbread houses for Christmas.
la foursh lèstoma (n. phr.)	part of the chest below the sternum		
lèsé kouri (v. phr.)	to let go, free, set free, release	Yé té gin li fèrmen é la yé té lèsé li kouri.	They kept it locked up and now they set it free.
lès konné (v. phr.)	let know	Mo pa konné si m'ap alé demen. M'a lès twa konné.	I don't know if I'm going tomorrow. I'll let you know.
lèsé tonmbé (v. phr.)	to drop, let fall	Li lèsé mô po tonbé par-tèr é li brizé li.	He dropped my pitcher on the floor and he broke it.
dan lété (adv. phr.)	in the summer	Mo té gin kat piti é yé tou nèt maryé. Mé yé vyen pou le fèt é yé vyen dan lété.	I had four kids and they are all married. But they come for the holidays and they come in the summer.
lèvé lamèn (v. phr.)	to wave	Li lèvé sô lamèn apré mwa. Li mandé mò kòmen mo sent mo-mèm.	Hi waved his hand at me and aske me how I felt.
lèvé lamèn koté Bondyè (v. phr.)	to swear to god	M'ap lèvé mô lamèn koté Bondyè.	I'm raising my hand to God (I swear to God).
bon linj (n. phr.)	good clothes, dress codes	Mo té gin bon linj a mô.	I had my nice clothes on.
linj dedsou (n. phr.)	underclothes, undegarments, underwear	Mo met mô linj dedsou, mô brasyèr é mô kalson.	I put on my underwear, my bra and my panties.
linj lanwit (n. phr.)	night clothes	Li koushé tou ron. Li té ni. Li té p'olé mèt sô linj lanwit.	He simply went to bed. He was naked. He didn't want to put his night clothes on.
mèt (sô) linj on (v. phr.)	to put on one's clothes, dress, get dressed	M'apé mèt mô linj on.	I'm putting my clothes on.
bout linj (n. phr.)	rag, piece of cloth		
a klèr d lin (av. phr.)	in the moonlight	Çé toujou le swa mo té vòlé de prin, yé té toujou semblé méyèr a klèr d lin.	It was always in the evening that I would steal plums, they always looked better in the moonlight.
lalin plin (n. phr.)	full moon		
lalin ranpli (n. phr.)	full moon		
lalin fò (n. phr.)	full moon		
dan bon lalin (adv. phr.)	during the correct phase of the moon	To pa planté dan bon lalin.	You didn't plant during the right moon phase.
lalin feb (n. phr.)	new moon		
mové lalin (n. phr.)	bad moon	Çé té mové lalin, to té pa gin li dan bon lalin.	It was a bad moon, you didn't catch in the right moon.
nouvèl lin (or lin nouvel) (n. phr.)	new moon		
premyé lalin (n. phr.)	new moon		
en lòr (adj. phr.)	golden	Mo gin in lamònt en lòr.	I have a gold watch.
d(ez)òt (pl.)	others	Li té gin dòt boug ki té kouri vini.	He had other guys that were coming along.
lez-òt (n. phr.)	the other	Çé in vyé ti kanar. Li piti, mé li fé konm lez-òt kanar.	It's a little old duck, it's little but it's made like the other ducks.
dòt-shoj (pro. ind.)	something else	Li petèt bon pou fé dòt-shoj.	Perhaps she's good for somthing else.
in lòt (pl.)	the others, another (one, ones)	Mo gin in frèr en vil, epi in lòt ki rès isi.	I have one brother in the city, and another one who lives here.
in dèryé lòt (adv. phr.)	one after the other		
lèr-d-tem (n. phr.)	hour	Nou parlé pou in èr dè tem.	We talked for an hour.
dan le ... èr (adv. phr.)	around X o'clock	Yé rèsté lamézon apèpré ishka dam le katr èr.	They stayed at home until about four o'clock.
ki lèr li yé? (exp.)	what time is it?		
en lèr (adv. phr.)	on time	Li houra pou vini drwat en lèr.	He hurried to get ther on time.
jwé ti madam (v. phr.)	to play house		
magazèn (n.)	1. barn<br>2. store, shop	1. Le swa li çé oté sô lapo, roulé li é mèt li dan en kwon dan magazèn mayi-la.<br>2. Mo alé magazèn ashté banann.	1. In the evenings he would take off his skin, roll it up, and put it in the corner in his corn barn.<br>2. I went to the store to buy bananas.
biskwi magazèn (n.)	cracker		
vini pli mal (v. phr.)	to worsen, get worse	L'ap vini pli mal.	His condition is getting worse.
bwat lamal (n. phr.)	mailbox		
nonm lamal (n. phr.)	mailman, postman		
mal lèstoma (n. phr.)	stomach ache	To di a kekenn "mo gen du mal dan mô èstoma".	You tell someone, "I have a stomach ache".
mal blon (n. phr.)	mouth sore in an infant	Pou lafyèv é in piti ki gin mal blon.	For the fever and for a child with sores in the mouth.
mal-o-zyé (n. phr.)	sore eyes	kan to gin mal-o-zyé mèt flèr rozyé dan in galon dolo epi bat tô zyé en dan la.	When your eyes are sore put rosewater in a gallon of water and then flush your eyes with that.
doulè (n.)	pain	Ina dè fwa to wa byin, mé ça dòn twa in mal a tèt, doulè dan le zyè.	Sometimes you see clearly, but it gives you a headache, pain in the eyes.
bon doulè (n. phr.)	labor pains	Tô bon doulè, tô doulè pou mené tô piti, to dan labor, yé pèl ça.	Your labor pains, your pains of childbirth. They call that being in labor.
doulèr akoush (n. phr.)	labor pains	Li té gin mové doulèr akoush avan bebé-la né.	She had bad labor pains before the baby was born.
dòn malad (v. phr.)	to make, cause to be sick	Yé dòn moun toujou malad.	(Cracklins) always make people sick.
rès malad (v. phr.)	to be sickly	Piti-la rès malad.	That child is sickly.
maladi (n.)	illness, sickness	Li koné bliyé plin. Dòktè di aben çé sô maladi ki fé ça.	He forgets a lot of things. The doctors say that it's his sickness that causes that.
maladi de fonm (n. phr)	venereal disease	Trapé in maladi de fonm.	To catch a venereal disease.
mové maladi (n. phr.)	1. serious disease<br>2. syphilis	1. In mové maladi. Sèryè.<br>2. Çé in lalyann nwa. To fé dité avèk blak-djak pou mové maladi.	1. A bad disease.<br>2. It's a black vine. You make tea with black jack for bad sickness (syphilis).
èspré (adv.)	1. on purpose<br>2. specifically, especially	1.<br>2. Yé gin remèd èspré pou maladi-çala.	1.<br>2.They've got a cure specifically for that illness.
fé èspré (v. phr.)	to do somthing on purpose	Çé té in laksidan. Mo pa fé ça èspré.	It was an accident. I didn't do that on purpose.
mandé in kèstyon (v. phr.)	to ask a question	Li mandé mwa in kèstyon.	He asked me a question.
mandé lakèt (v. phr.)	to ask for a handout		
mandé kolèksyon (v. phr.)	to ask for a handout		
mandé pardon (v. phr.)	to ask forgiveness	Ça fé mo lapenn é mo mandé li pardon.	I am sorry and I asked his forgiveness.
mandé pou (v. phr.)	to ask for	Li kouri mandé sô bòs pou vent-senk pyas pou ashté liv.	He went to ask his boss for twenty-five dollars to buy some books.
manjé si lèstoma (n. phr.)	indegestion	Pou manjé si lèstoma, mèt in ti kiryé la yeast dan in dèmi vèr dolo é brasé li.	For indegestion, put a spoonful of yeast in half a glass of water and stir.
maryé avèk (v. phr.)	to marry	Eskè vou gin kishoj kant ça, ke blan maryé avèk nwa?	Do you have something against blacks marrying whites?
kouri maron (v. phr.)	to run away	L'alé maron dan sipryèr, Nouzòt pa koné ou l'alé.	He ran away into the swamp. We don't know where he went.
parti maron (v. phr.)	to run away	Apré, yé té parti maron.	After, they run off.
lanmen (adv.)	next day	Le swa mo resit mô leson pou landmen a lékol.	At night I recite my lesson for the next day at school.
asmaten (adv. phr.)	this morning	To levé asmaten to vini isit avèk tô chvè-yé you payé.	You got up this morning and came here with your hair all uncombed.
bon maten (adv. phr.)	1. in the early morning<br>2. this morning<br>3. good morning	1. Mo travay pa la apré-midi. Mo travay bon maten.<br>2. Mo parlé avèk li bon maten.<br>3.	1. I don't work in the afternoon. I work in the early morning.<br>2. I talked with him this morning.<br>3.
gran (bon/gran) maten (adv. phr.)	early in the morning, just before sunrise	Gran maten? çé in ti brin avan soley lèvé.	Gran maten? That's a tiny bit before sunrise.
le maten (adv. phr.)	in the morning	Mo bwa yenk in tas le maten.	I just drink one cup in the morning.
tou le maten (adv. phr.)	every morning	Mo bwa kafé tou le maten.	I drink coffee every morning.
pwèñé (n.)	handful	Mo mèt endan bol-la in pwèñé lafarin pou fé in lakrèp.	I put in the bowl a handful of flour to make a pancake.
menm shoj (n. phr.)	same thing	Çé menm shoj avèk gro bizniz é piti bizniz.	It's the same thing with big businesses and little businesses.
en menm tem (adv. phr.)	at the same time		
tou-d-menm (adv. phr.)	none the less, all the same		
en (sô) min (adv. phr.)	on one's hands	Li gin plin traka en sô min.	He has a lot of trouble in his hands.
avèk lamin (adv. phr.)	by hand, manually	Avan yé té gin trèkta té lod ça avèk lamin.	Before they had tractors they used to load that by hand.
a lamin (adv. phr.)	by hand, manually	In sabotyèr, ti tourn a lamin pou fé lakrèm.	An ice cream maker, you crank it by hand to make ice cream.
donn lamin (v. phr.)	to shake hands	Dòn mwa lamin. Mo pa wa twa pou lontem.	Shake my hand. I haven't seen you in a long time.
avèk dè lamin (adv. phr.)	with both hands	Trapé li avèk dè lamin.	He caught it with both hands.
koup-d-min (n. phr.)	helping hand		
lamin gòsh (adj. phr.)	1. left handed<br>2. on the left hand side	1. Mo né lamin gòsh.<br>2.	1. I was born left handed.<br>2.
sègon-min (adj. phr.)	second hand, used	Kour ashté vyè sha, sègond min.	He went to buy an old second hand car.
mentè (n., adj.)	liar	L'apé manti, li p'apé di laverité. Li in gran mantè.	He's lying, he's not telling the truth. He's a big liar.
fé lamin (v. phr.)	to pout	Mo fiy linm fé lamin kan li pa gin sô manyèr.	My daughter likes to pout when she doesn't get her way.
(la)minn (n.)	1. face, look<br>2. frown<br>3. mine (ore)	1. Mo té p'apé fé in vayon figur ditou, mo té gin in vilen figur. O, mô lamin!<br>2. Li té rèsté avèk in min kon kou té kouri wa li dan lopital.<br>3.	1. I wasn't making a nice face at all, I was making an ugly face. Oh the face I made!<br>2. He always had a frown when we'd go to see him in the hospital.<br>3.
minwi (n.)	midnight	Nou alé koushé a minwi.	We went to go to bed at midnight.
minit (n.)	minute	Li çé senk minit pasé sèt èr.	It is five minutes after seven.
